,intensity,area,perimeter,label,frame,nor_intensity,nor_length,cells,length(um)
0,31937991,1072,286.6460478400995,6,0,0.4274164082713516,0.44690595286589746,1,5.732920957
1,32762564,1187,372.4151255567045,8,1,0.43845141764365475,0.5806273548953113,1,7.448302511
2,16876113,584,202.0271591041328,15,2,0.2258478814162564,0.31497779482586075,1,4.040543182
3,74723362,2445,641.4012747020022,19,2,1,1,1,12.82802549
4,10101316,333,94.23423624676505,7,3,0.13518283612560153,0.14691931551047616,1,1.884684725
5,28235933,925,265.69345518777766,11,3,0.37787289335295166,0.41423905075838835,1,5.313869104
6,38762729,1249,355.58009327139877,4,4,0.5187497987577165,0.5543800851293955,1,7.111601865
0,12902607,1550,530.7362652332708,15,0,0.5186273397727135,0.5194104502890827,2,10.6147253
1,17089226,1955,626.2159752356886,18,1,0.6869107785081487,0.6128526407224603,2,12.5243195
2,6473302,741,234.35646514407705,28,1,0.2601979116162637,0.2293553409905782,2,4.687129303
3,24878378,2991,1021.8051349137943,16,2,1,1,2,20.4361027
4,22896950,2734,964.6915301795556,14,3,0.9203554186691753,0.9441051891571702,2,19.2938306
5,7458567,802,253.26183759453158,17,3,0.2998011767487414,0.2478572762466087,2,5.065236752
6,21930781,2736,972.8708344,12,4,0.8815197276928585,0.9521099485047599,2,19.45741669
7,6442641,748,319.20539167617136,18,4,0.2589654759647112,0.3123936069308376,2,6.384107834
0,8358709,867,300.60899351404174,11,0,1,1,3,6.01217987
1,4363361,454,166.00090004332907,15,1,0.5220137463811696,0.5522153482596155,3,3.320018001
2,1868699,217,95.67027955244677,16,1,0.22356311243757856,0.318254881,3,1.913405591
3,6302978,667,224.89899061767332,15,2,0.7540611833717384,0.7481445847266976,3,4.497979812
4,5514588,603,241.04390951459607,19,2,0.6597415940667393,0.8018519562467338,3,4.82087819
5,4001836,431,186.0564614744219,14,3,0.4787624500386363,0.6189317867688181,3,3.721129229
0,9335681,961,299.11713367944424,5,0,0.5761209100404842,0.6874954700055478,4,5.982342674
1,12617482,1351,435.08233396364125,0,1,0.7786464867704271,1,4,8.701646679
2,3038498,295,103.29422339029361,2,1,0.18751093068799063,0.23741304881141337,4,2.065884468
3,2365530,232,94.52009057180852,6,1,0.145980919,0.21724644554220704,4,1.890401811
4,5911220,654,275.6899417986339,0,2,0.3647915396690944,0.6336500479968296,4,5.513798836
5,13213885,1207,392.6054400089105,1,2,0.8154515403183016,0.9023704466054454,4,7.8521088
6,1957951,210,109.86326302251666,6,2,0.1208285193050915,0.25251143162180806,4,2.19726526
7,6006802,621,252.47643943113414,11,2,0.3706900690665202,0.5802957732874371,4,5.049528789
8,14766095,1223,322.6164903719875,0,3,0.9112410855881047,0.7415067567393985,4,6.452329807
9,8302031,803,308.6930129441439,1,3,0.5123325930807094,0.70950482,4,6.173860259
10,16204378,1504,426.23603633342327,0,4,1,0.9796675320056611,4,8.524720727
0,18831045,2345,734.0810629047895,4,0,1,1,5,14.68162126
1,3435738,467,206.6837315556017,18,1,0.18245073494328115,0.2815543704911083,5,4.133674631
2,16708798,1969,564.1137037983744,6,1,0.887300625,0.768462411,5,11.28227408
3,12975125,1587,485.73853212348865,4,2,0.6890284102661324,0.6616960396736036,5,9.714770642
4,14188444,1865,509.31682530822934,4,3,0.7534602567196882,0.6938155076400436,5,10.18633651
5,7499402,1008,337.38118249214426,3,4,0.3982467250224297,0.45959662977425514,5,6.74762365
0,2808586,341,122.6202031869048,2,0,0.4075052966086325,0.5530051748988547,6,2.452404064
1,2601709,301,94.29005277568086,3,0,0.3774889562699339,0.42523895550033003,6,1.885801056
2,4833787,589,219.49648824890568,1,1,0.7013471566040533,0.9899077861480297,6,4.389929765
3,2371911,284,109.34737090134556,3,1,0.34414694639376475,0.49314599387718505,6,2.186947418
4,2267384,244,77.45502049037516,5,1,0.32898084283182627,0.3493145993877185,6,1.54910041
5,3319465,405,116.66234045086738,4,1,0.4816301047598237,0.5261357941709193,6,2.333246809
6,1663931,209,119.57389530832951,1,2,0.24142422403704158,0.5392666230337964,6,2.391477906
7,1803532,215,83.37341498031392,4,3,0.26167930859270827,0.37600598216939807,6,1.6674683
8,2895666,300,99.78783992,5,3,0.42013996801576753,0.4500334401120519,6,1.995756798
9,2661803,277,84.25409791872588,6,3,0.3862081563565252,0.3799777764555696,6,1.685081958
10,6892146,678,181.99471763632152,3,3,1,0.8207784528275022,6,3.639894353
11,6582241,714,221.73427800080202,5,4,0.9550350500410177,1,6,4.43468556
0,10314826,1134,303.2115740831789,15,0,0.3986128117439537,0.3268819995965007,7,6.064231482
1,3200192,310,89.79135330860669,13,0,0.12367029082608923,0.096800979,7,1.795827066
2,25876805,2977,927.5872469498464,10,1,1,1,7,18.55174494
3,3173322,395,166.32622261447122,13,1,0.12263190915570914,0.17931059656263718,7,3.326524452
4,7315908,873,328.0584609868538,20,2,0.2827206836392669,0.3536685762612598,7,6.56116922
5,2940708,364,134.55227694179686,21,2,0.1136426231909233,0.1450561953975117,7,2.691045539
6,18404518,1760,402.00709800639834,26,4,0.7112361050755687,0.4333900658167785,7,8.04014196
7,5299855,680,249.04899245250087,27,4,0.20481102670905468,0.2684911778071984,7,4.980979849
0,1781846,201,92.20336432771485,3,0,0.13449024057643483,0.20299375245243784,8,1.844067287
1,9568897,1005,327.32887935237216,9,0,0.7222415739525894,0.7206430913911545,8,6.546577587
2,2091604,236,97.37582890035483,19,1,0.15787016675438473,0.2143813845706715,8,1.947516578
3,7184290,789,292.04855020886714,23,1,0.5422561155514422,0.6429703681362559,8,5.840971004
4,5974051,617,189.21440241082885,6,2,0.45090964999550526,0.4165720182064389,8,3.784288048
5,2380320,264,101.26335147124341,10,2,0.1796618840510905,0.2229401047449528,8,2.025267029
6,8980237,973,303.7505861676316,9,3,0.677810672,0.6687334214469791,8,6.075011723
7,13248887,1416,454.21774421022354,13,4,1,1,8,9.084354884
0,22810776,2713,674.9038897,0,0,1,1,9,13.49807779
1,1597400,207,97.43164542927066,3,0,0.070028306,0.1443637337378811,9,1.948632909
2,21231389,2381,568.2216875630379,1,1,0.9307613647163955,0.8419297862211412,9,11.36443375
3,6784217,749,200.4958310234366,0,2,0.2974128105067535,0.2970731597305764,9,4.00991662
4,5827019,774,255.46693078079363,1,2,0.25545027490515887,0.37852342338655165,9,5.109338616
5,1805097,246,101.31916800015922,0,3,0.07913352,0.15012384659291003,9,2.02638336
6,1936819,244,88.41112653184075,1,3,0.084908072,0.13099809896338233,9,1.768222531
0,5519034,672,208.9051730246809,6,0,0.3626872256944212,0.48335983796732496,10,4.17810346
1,5234211,700,258.2437326171426,9,0,0.3439698806510744,0.5975182277518419,10,5.164874652
2,15217062,1593,432.19389906946066,4,1,1,1,10,8.643877981
3,9129444,1119,322.1958830258308,10,1,0.5999478743005713,0.7454891976021361,10,6.443917661
4,1818872,252,100.28738375781697,9,1,0.11952846088160776,0.2320425715720229,10,2.005747675
5,3087370,369,142.36679032967268,3,2,0.2028887047972861,0.3294049051506671,10,2.847335807
6,5016346,632,199.28982551388253,9,2,0.32965272797074757,0.4611120747955153,10,3.98579651
7,7084396,793,208.50091396134138,11,2,0.46555609749109256,0.4824244729281379,10,4.170018279
8,5362082,731,248.43781555631523,5,3,0.3523730139234499,0.5748295292719696,10,4.968756311
9,9765987,1216,340.75281294186175,10,3,0.6417787480921087,0.7884257822137771,10,6.815056259
10,9075303,1099,340.68064813012876,6,4,0.5963899601644522,0.7882588089828074,10,6.813612963
11,8447688,1122,362.3560507364679,14,4,0.5551457962121729,0.8384108417926357,10,7.247121015
12,2713015,370,127.98323730957381,13,4,0.17828770100299257,0.296124581,10,2.559664746
0,1774894,230,84.06352837,0,0,0.079703154,0.12998673957454793,11,1.681270567
1,1559213,212,89.19652469523821,1,0,0.070017812,0.13792384939711985,11,1.783930494
2,17417432,1965,570.9195529071895,2,0,0.7821448883314573,0.8828081890195657,11,11.41839106
3,4237471,460,140.7565257567791,0,1,0.19028730998362955,0.2176506531669415,11,2.815130515
4,2933775,310,88.7364491,1,1,0.1317437105403725,0.13721243830891522,11,1.774728982
5,22268805,2437,646.7084922957554,2,1,1,1,11,12.93416985
6,12067856,1293,346.86177698182945,0,2,0.5419175389070047,0.536349501,11,6.93723554
7,1900859,232,86.41972285888923,2,2,0.085359722,0.13363010365320424,11,1.728394457
8,13852583,1539,424.62577176052963,6,2,0.6220622525546387,0.6565953235794807,11,8.492515435
9,7284571,933,274.2144302468535,0,3,0.32711997792427566,0.42401550855381165,11,5.484288605
10,2692636,320,115.32158192020013,1,3,0.12091515462998575,0.17832080959818414,11,2.306431638
11,8041073,921,253.49187539065926,6,3,0.36109135627169936,0.39197239314236704,11,5.069837508
12,9170413,1060,304.95659167718566,7,4,0.4118053483336892,0.47155185885161016,11,6.099131834
0,17475771,2131,531.1963408255262,9,0,0.6604741053795784,0.5929396719538494,12,10.62392682
1,24596023,2944,677.1974959666783,11,0,0.9295747974049634,0.7559111956276393,12,13.54394992
2,26459434,3268,895.8691178060878,6,1,1,1,12,17.91738236
3,10410340,1333,419.8575662512292,17,1,0.39344530196677674,0.46865949267168283,12,8.397151325
4,2059210,293,139.41576722611185,5,1,0.077825172,0.15562068661048387,12,2.788315345
5,8155630,1078,352.84275968114844,8,2,0.30823146103578786,0.39385525482252615,12,7.056855194
6,9048468,1194,322.1727630625493,17,2,0.34197511556747584,0.3596203470564146,12,6.443455261
7,3245799,412,126.00818191943941,16,2,0.12267076461272754,0.14065467758060846,12,2.520163638
8,3581650,431,124.2862842887142,12,2,0.13536381768408198,0.13873263607197603,12,2.485725686
9,9253267,939,204.78761265766468,10,3,0.3497152282244586,0.22859099458542922,12,4.095752253
10,8133003,981,255.34852604249764,19,3,0.3073763029095785,0.2850288295100805,12,5.106970521
11,4684754,589,219.26645045277803,18,3,0.17705420304909017,0.24475277258104858,12,4.385329009
12,1594158,230,94.23423624676505,12,3,0.060249135,0.10518750381477285,12,1.884684725
13,10651656,1104,245.66101371996626,7,4,0.40256552728981276,0.27421529421794394,12,4.913220274
14,17026931,1852,399.0002583739217,3,4,0.6435107795578696,0.44537784643256995,12,7.980005167
15,3279113,347,88.18108874,10,4,0.1239298240468787,0.098430772,12,1.763621775
0,29168708,3259,924.5640590345527,0,0,0.9044627087647125,0.9020258641637316,13,18.49128118
1,3312473,435,178.66255543270273,7,0,0.1027130959070924,0.17430727961258716,13,3.573251109
2,32249763,3621,1024.9861958134827,0,1,1,1,13,20.49972392
3,25269335,3007,902.4449291187753,0,2,0.7835510295067905,0.8804459345938291,13,18.04889858
4,2027185,258,98.71658743102209,0,3,0.062858912,0.096310163,13,1.974331749
5,8375027,1020,359.65818539231634,4,3,0.259692668,0.35089076015006504,13,7.193163708
6,3167105,408,169.27724571803202,0,4,0.098205528,0.16515075657549197,13,3.385544914
7,10280183,1100,316.6980958820487,1,4,0.31876770691307094,0.30897791323979784,13,6.333961918