,cell,label,x,y,area,Hem1_intensity,background,final_intensity,WAVE2_area,WAVE2_intensity,WAVE2_background,WAVE2_final_intensity
0,250307_hem1-eGFP_molecule_2_1_MMStack_Default.ome.tif,1,494.4374004,628.2048254,13802,2963.142878,1015.360399,1947.782479,13802,5832.453195,1491.433378,4341.019817
0,250307_hem1-eGFP_molecule_2_2_MMStack_Default.ome-2.tif,2,90.25491311,369.9752291,15825,2230.517852,1179.933085,1050.584767,15825,3894.066098,1730.032135,2164.033963
0,250307_hem1-eGFP_molecule_2_2_MMStack_Default.ome-2.tif,5,259.2134229,229.6578766,36177,2348.042126,1179.933085,1168.109042,36177,3909.036487,1730.032135,2179.004352
0,250307_hem1-eGFP_molecule_2_2_MMStack_Default.ome.tif,2,125.7680794,88.29621993,13095,2428.557312,1244.56539,1183.991922,13095,4394.273845,1926.841174,2467.432671
0,250307_hem1-eGFP_molecule_2_3_MMStack_Default.ome.tif,2,76.87057929,86.82050957,7889,1592.449106,1127.83257,464.6165365,7889,2352.535809,1521.331093,831.2047164
0,250307_hem1-eGFP_molecule_2_3_MMStack_Default.ome-2.tif,1,124.2488997,156.4258107,19767,2188.404462,1113.24194,1075.162522,19767,3380.721657,1501.488483,1879.233174
0,250307_hem1-eGFP_molecule_2_3_MMStack_Default.ome-3.tif,1,193.3296276,155.4016429,16191,3451.078439,1203.021036,2248.057402,16191,5033.730715,1721.344995,3312.385719
0,250307_hem1-eGFP_molecule_2_3_MMStack_Default.ome-3.tif,2,408.8208869,290.2510131,8637,2927.765659,1203.021036,1724.744623,8637,4708.378141,1721.344995,2987.033145
0,250307_hem1-eGFP_molecule_2_4_MMStack_Default.ome.tif,2,353.9603202,464.8220377,20111,2681.085824,1089.625712,1591.460112,20111,4717.174482,1470.084237,3247.090245
0,250307_hem1-eGFP_molecule_2_4_MMStack_Default.ome.tif,6,748.1374385,688.564218,16662,3616.730525,1089.625712,2527.104813,16662,4209.148482,1470.084237,2739.064245
0,250307_hem1-eGFP_molecule_2_5_MMStack_Default.ome.tif,6,285.1450244,565.6665948,27816,2647.456068,1124.783854,1522.672214,27816,3865.898548,1482.383778,2383.51477
0,250307_hem1-eGFP_molecule_2_5_MMStack_Default.ome.tif,7,360.3744867,772.1539748,40669,2821.215693,1124.783854,1696.431838,40669,4259.496103,1482.383778,2777.112325
0,250307_hem1-eGFP_molecule_2_5_MMStack_Default.ome.tif,12,784.5252955,314.2558241,11504,2742.166812,1124.783854,1617.382957,11504,3284.126652,1482.383778,1801.742874
0,250307_hem1-eGFP_molecule_2_6_MMStack_Default.ome.tif,1,99.56315092,681.2435145,5281,3519.369438,1136.584818,2382.784619,5281,4062.791706,1503.387936,2559.403771
0,250307_hem1-eGFP_molecule_2_6_MMStack_Default.ome.tif,3,397.9858606,300.2670779,17186,3064.683696,1136.584818,1928.098878,17186,4318.266205,1503.387936,2814.878269
0,250307_hem1-eGFP_molecule_2_6_MMStack_Default.ome.tif,5,739.8111157,794.0125729,24020,4631.072565,1136.584818,3494.487746,24020,5548.09159,1503.387936,4044.703655
0,250307_hem1-eGFP_molecule_2_7_MMStack_Default.ome.tif,1,183.8245766,576.6374134,10392,2365.733545,1110.297403,1255.436142,10392,5105.369611,1531.648625,3573.720986
0,250307_hem1-eGFP_molecule_2_7_MMStack_Default.ome.tif,5,378.4067351,602.5173488,20549,2902.284247,1110.297403,1791.986844,20549,5991.837364,1531.648625,4460.188739
0,250307_hem1-eGFP_molecule_2_9_MMStack_Default.ome.tif,1,484.4929868,359.1593912,36859,3681.911853,1130.545718,2551.366135,36859,4496.447489,1485.594898,3010.852591
0,250307_hem1-eGFP_molecule_2_9_MMStack_Default.ome.tif,5,693.7997667,883.0472461,12001,2934.589368,1130.545718,1804.04365,12001,3557.401633,1485.594898,2071.806735
0,250307_hem1-eGFP_molecule_2_10_MMStack_Default.ome.tif,1,157.8329132,205.6691124,22216,2391.743338,1181.446191,1210.297148,22216,4016.124415,1642.503696,2373.620719
0,250307_hem1-eGFP_molecule_2_10_MMStack_Default.ome-2.tif,1,170.1822789,130.9049371,24468,1786.993011,1153.258047,633.7349643,24468,4275.848251,1756.952115,2518.896135
0,250307_hem1-eGFP_molecule_2_11_MMStack_Default.ome.tif,1,341.7019955,859.4153686,27862,3932.285443,1136.26377,2796.021672,27862,5875.871545,1554.982242,4320.889303
0,250307_hem1-eGFP_molecule_2_11_MMStack_Default.ome.tif,2,554.5161115,190.29095,27558,3631.188911,1136.26377,2494.92514,27558,4245.912439,1554.982242,2690.930197
0,250307_hem1-eGFP_molecule_2_12_MMStack_Default.ome.tif,1,141.8034428,732.389531,28465,2898.817565,1125.755276,1773.062289,28465,5271.52092,1486.688036,3784.832884
0,250307_hem1-eGFP_molecule_2_12_MMStack_Default.ome.tif,3,622.5827361,507.2467536,37118,2888.596018,1125.755276,1762.840742,37118,4355.695997,1486.688036,2869.00796
0,250307_hem1-eGFP_molecule_2_13_MMStack_Default.ome.tif,1,402.5196404,573.6785853,33477,6115.706276,1237.575911,4878.130365,33477,7904.688532,1598.839174,6305.849358
0,250307_hem1-eGFP_molecule_2_14_MMStack_Default.ome.tif,2,80.16432001,134.0887414,18537,1609.218212,1217.957966,391.260246,18537,3655.349625,1832.150135,1823.19949
0,250307_hem1-eGFP_molecule_2_14_MMStack_Default.ome-2.tif,1,135.1308967,160.9661816,26731,5051.668512,1497.876079,3553.792434,26731,5988.071116,2001.05953,3987.011586
0,250307_hem1-eGFP_molecule_2_14_MMStack_Default.ome-3.tif,2,105.8935438,107.0586281,16852,2061.799252,1396.948449,664.8508029,16852,4157.124436,2089.528911,2067.595525
0,250307_hem1-eGFP_molecule_2_14_MMStack_Default.ome-4.tif,1,169.1815375,164.0809536,68669,2983.969273,1379.429481,1604.539792,68669,7176.14002,2126.420343,5049.719676
0,250307_hem1-eGFP_molecule_2_15_MMStack_Default.ome.tif,3,415.0425963,550.8529817,12325,2409.664016,1198.785191,1210.878826,12325,3649.843813,1558.132271,2091.711543
0,250307_hem1-eGFP_molecule_2_15_MMStack_Default.ome.tif,4,444.5594463,246.2283517,19505,2518.335658,1198.785191,1319.550467,19505,4285.973289,1558.132271,2727.841018
0,250307_hem1-eGFP_molecule_2_15_MMStack_Default.ome.tif,5,426.8404924,411.6899603,7799,2166.356328,1198.785191,967.5711371,7799,4618.985126,1558.132271,3060.852856
0,250307_hem1-eGFP_molecule_2_15_MMStack_Default.ome.tif,6,539.762425,699.6209335,20503,2475.514364,1198.785191,1276.729173,20503,4235.113983,1558.132271,2676.981713
0,250307_hem1-eGFP_molecule_2_15_MMStack_Default.ome.tif,7,711.5177277,908.2207394,30348,2732.337914,1198.785191,1533.552723,30348,4206.514762,1558.132271,2648.382491
0,250307_hem1-eGFP_molecule_2_16_MMStack_Default.ome.tif,1,266.3249092,879.1242524,28925,6550.58866,1242.354777,5308.233884,28925,8001.399689,1593.532785,6407.866903
0,250307_hem1-eGFP_molecule_2_16_MMStack_Default.ome.tif,2,418.6369869,529.6369652,46092,6331.590753,1242.354777,5089.235977,46092,7877.890545,1593.532785,6284.35776
0,250307_hem1-eGFP_molecule_2_17_MMStack_Default.ome.tif,1,313.0769675,557.2623573,24257,3133.359772,1185.063919,1948.295854,24257,5807.343983,1524.886486,4282.457498
0,250307_hem1-eGFP_molecule_2_18_MMStack_Default.ome.tif,1,402.3200371,825.1415498,30159,4622.488809,1204.363654,3418.125155,30159,5626.660367,1527.844103,4098.816264
0,250307_hem1-eGFP_molecule_2_18_MMStack_Default.ome.tif,2,564.5188178,660.4721917,20911,2927.750992,1204.363654,1723.387338,20911,6917.036488,1527.844103,5389.192385
0,250307_hem1-eGFP_molecule_2_20_MMStack_Default.ome.tif,5,429.9556327,560.8225098,94732,4341.68204,1289.796806,3051.885233,94732,6475.145167,1684.837029,4790.308139
0,250307_hem1-eGFP_molecule_2_21_MMStack_Default.ome.tif,5,534.8516978,585.8348718,42791,6744.071978,1206.706348,5537.36563,42791,6551.202099,1532.267098,5018.935001
0,250307_hem1-eGFP_molecule_2_22_MMStack_Default.ome.tif,7,507.2004514,459.8160407,34562,2891.961837,1204.669768,1687.292068,34562,4362.16495,1534.407591,2827.757359
0,250307_hem1-eGFP_molecule_2_22_MMStack_Default.ome.tif,9,598.6012623,687.887983,55929,3467.674695,1204.669768,2263.004926,55929,5183.55136,1534.407591,3649.143769
0,250307_hem1-eGFP_molecule_2_23_MMStack_Default.ome.tif,1,398.3709002,630.0865083,143362,4375.104742,1240.485196,3134.619546,143362,6822.983796,1576.056263,5246.927533
0,250307_hem1-eGFP_molecule_2_24_MMStack_Default.ome.tif,1,659.2990369,653.6922647,58976,3115.032946,1164.374761,1950.658185,58976,7053.858943,1483.328781,5570.530161
0,250307_hem1-eGFP_molecule_2_25_MMStack_Default.ome.tif,1,206.5303349,149.8969473,54739,5245.838415,920.7390603,4325.099355,54739,5660.487952,1186.456153,4474.031799
0,250307_hem1-eGFP_molecule_2_25_MMStack_Default.ome-2.tif,1,165.3081676,155.5033561,31882,3469.23427,1503.458575,1965.775695,31882,7361.912835,2278.698264,5083.21457
0,250307_hem1-eGFP_molecule_2_25_MMStack_Default.ome-3.tif,1,198.4091664,278.8480539,52387,4443.135721,698.1284957,3745.007225,52387,5184.02577,877.3677589,4306.658011
0,250307_hem1-eGFP_molecule_2_27_MMStack_Default.ome.tif,1,505.5191269,542.5285888,32023,6061.90435,1128.809271,4933.095079,32023,7437.775224,1496.0117,5941.763524
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome.tif,2,154.8319731,218.5261285,88218,2746.70268,1370.653215,1376.049465,88218,5667.326543,1903.593599,3763.732944
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-2.tif,1,133.8810983,276.4424194,25130,3559.213729,1093.622355,2465.591374,25130,6713.638957,1459.882459,5253.756499
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-3.tif,1,230.0238542,165.5444215,42592,2868.739364,1016.352677,1852.386687,42592,5608.967975,1383.775558,4225.192417
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-4.tif,1,141.5547642,209.1579311,28924,5383.414673,756.0309121,4627.383761,28924,7880.966568,1054.37022,6826.596348
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome.tif,1,120.1223324,129.1475492,23992,2111.821024,1319.205075,792.6159485,23992,3816.287679,1766.222531,2050.065148
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome-2.tif,1,197.9437555,182.3455629,35079,2420.301177,1257.668038,1162.633139,35079,3579.184669,1543.979692,2035.204977
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome-3.tif,1,169.4216172,175.1786187,55095,3183.250912,1544.036938,1639.213974,55095,5128.750304,2169.234378,2959.515926
0,250307_hem1-eGFP_1-1_5_MMStack_Default.ome.tif,1,521.1332629,520.7074894,17972,2472.200979,1142.554099,1329.64688,17972,3980.811429,969.0662388,3011.74519
0,250307_hem1-eGFP_1-1_6_MMStack_Default.ome.tif,1,244.8162436,242.098017,98636,5920.673922,1476.1031,4444.570822,98636,9963.642798,1543.067254,8420.575543
0,250307_hem1-eGFP_1-1_7_MMStack_Default.ome.tif,1,276.4072944,759.6990709,14422,4277.425461,1120.091239,3157.334222,14422,5092.221675,1028.525309,4063.696367
0,250307_hem1-eGFP_1-1_7_MMStack_Default.ome.tif,2,558.3341597,438.3872505,31060,4057.806343,1120.091239,2937.715104,31060,4169.080296,1028.525309,3140.554988
0,250307_hem1-eGFP_1-1_9_MMStack_Default.ome-2.tif,1,171.7596228,124.6080559,24603,6062.170264,1286.409501,4775.760763,24603,6096.645084,1079.158422,5017.486662
0,250307_hem1-eGFP_1-1_12_MMStack_Default.ome.tif,2,210.5937305,445.9594105,8007,2500.465842,1147.648857,1352.816986,8007,2478.85113,1005.614682,1473.236448
0,250307_hem1-eGFP_1-1_12_MMStack_Default.ome.tif,4,788.9619627,556.8520445,23845,2920.059342,1147.648857,1772.410485,23845,2388.707654,1005.614682,1383.092972
0,250307_hem1-eGFP_1-1_13_MMStack_Default.ome.tif,1,221.9760595,137.9682976,30534,3961.630445,1401.027006,2560.603439,30534,4266.619899,1295.344714,2971.275185
0,250307_hem1-eGFP_1-1_16_MMStack_Default.ome.tif,2,506.4798802,474.78818,14687,3358.312657,1157.696635,2200.616023,14687,3430.23211,983.2718067,2446.960303
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,1,236.2519109,355.4267198,9027,2845.042539,1193.763448,1651.279091,9027,2855.180902,993.1548834,1862.026018
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,4,340.1865324,769.997886,16083,3496.620158,1193.763448,2302.85671,16083,3421.696077,993.1548834,2428.541193
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,5,493.9357926,530.98504,10762,2581.923434,1193.763448,1388.159986,10762,3413.134826,993.1548834,2419.979943
0,250307_hem1-eGFP_1-1_19_MMStack_Default.ome.tif,1,113.838191,128.6591191,16915,3381.310139,1526.633887,1854.676251,16915,3506.461425,1388.532211,2117.929214
0,250307_hem1-eGFP_1-1_21_MMStack_Default.ome.tif,3,473.8775797,609.8972405,25584,3623.778924,1203.919602,2419.859322,25584,3368.346896,997.2518827,2371.095014
0,250307_hem1-eGFP_1-1_22_MMStack_Default.ome.tif,1,457.7444318,520.8205049,28959,2835.055251,1172.684933,1662.370318,28959,3620.135467,971.9842745,2648.151193
0,250307_hem1-eGFP_1-1_23_MMStack_Default.ome.tif,1,116.5415003,174.6146696,16783,2796.090806,1373.80916,1422.281646,16783,3164.413752,1358.741441,1805.672311
0,250307_hem1-eGFP_1-1_24_MMStack_Default.ome.tif,1,473.0279111,553.7658667,22500,3246.320044,1165.588905,2080.73114,22500,3476.881289,957.2903986,2519.59089
0,250307_hem1-eGFP_1-1_26_MMStack_Default.ome.tif,1,399.7033268,522.5718462,27023,4117.254376,1186.834627,2930.419749,27023,4102.774451,977.0609171,3125.713534
0,250307_hem1-eGFP_1-1_31_MMStack_Default.ome.tif,1,420.3900756,675.2791009,73314,4646.355035,1252.661075,3393.69396,73314,5882.268189,1014.122969,4868.14522
0,250307_hem1-eGFP_1-1_33_MMStack_Default.ome.tif,1,88.42105512,258.4768781,21192,2857.492592,1423.742617,1433.749975,21192,4380.14496,1479.957129,2900.187832
0,250307_hem1-eGFP_1-1_33_MMStack_Default.ome-2.tif,1,81.32052598,145.5420141,15590,4507.752021,1727.243296,2780.508724,15590,4867.484926,1615.466289,3252.018638