,intensity,area,perimeter,label,frame,background,final_intensity,length(um),unit_length_intensity
0,490057.53125,2082.0,703.6709957260639,2.0,0.0,84355.1117477417,405702.4195022583,14.073419914521278,28827.56444179181
1,73232.3046875,329.0,140.39173493953825,6.0,0.0,13329.890377044678,59902.41431045532,2.807834698790765,21334.02451941105
2,110744.515625,489.0,186.43760057447986,9.0,1.0,19814.679416656494,90929.8362083435,3.7287520114895973,24386.13131904634
3,125061.328125,566.0,241.08337776069476,10.0,1.0,22934.78231048584,102126.54581451416,4.821667555213895,21180.752228361314
0,314642.21875,1372.0,442.95266388043297,4.0,0.0,61351.97392272949,253290.2448272705,8.859053277608659,28591.11881260089
1,259502.734375,1084.0,394.9943310647371,9.0,1.0,48253.00639343262,211249.72798156738,7.899886621294741,26740.85567407104
2,69739.2421875,283.0,107.546536778423,9.0,2.0,12462.45985031128,57276.78233718872,2.15093073556846,26628.836247509982
3,87267.796875,375.0,136.5994971436642,10.0,2.0,16513.86022567749,70753.93664932251,2.731989942873284,25898.315194714552
4,62200.703125,264.0,97.7569680004128,11.0,2.0,11625.757598876953,50574.94552612305,1.955139360008256,25867.69340366074
5,95084.8125,407.0,155.04479400186347,8.0,3.0,17587.17294692993,77497.63955307007,3.1008958800372692,24992.016033811055
6,55920.29296875,232.0,88.08580396069863,9.0,3.0,10025.120697021484,45895.172271728516,1.7617160792139726,26051.401138488578
7,53822.15625,235.0,96.7415320408877,10.0,3.0,10154.755878448486,43667.400371551514,1.9348306408177542,22569.10731633624
8,145385.609375,578.0,181.20931947292405,10.0,4.0,25197.355072021484,120188.25430297852,3.624186389458481,33162.82370370493
0,1143072.5,4330.0,1152.065630221363,1.0,0.0,200650.51586151123,942421.9841384888,23.04131260442726,40901.40176985436
1,192987.53125,819.0,284.65464416714804,0.0,1.0,38615.679416656494,154371.8518333435,5.693092883342961,27115.639072921113
2,80190.640625,332.0,142.28785383747532,5.0,1.0,15653.730850219727,64536.90977478027,2.8457570767495066,22678.291939273997
3,53176.73046875,237.0,93.54412285838208,12.0,1.0,11174.500637054443,42002.22983169556,1.8708824571676417,22450.491034740575
4,309092.125,1311.0,432.1149625772633,16.0,1.0,61813.37694168091,247278.7480583191,8.642299251545266,28612.61116526427
5,533443.6875,2122.0,631.6742941333722,11.0,2.0,102348.91590118408,431094.7715988159,12.633485882667443,34123.18465406748
6,358968.4375,1353.0,426.1012833123101,13.0,3.0,66830.66142654419,292137.7760734558,8.522025666246202,34280.32107795061
7,165390.53125,699.0,263.7415197609247,24.0,3.0,34526.705348968506,130863.8259010315,5.274830395218494,24809.105904079188
8,459826.6875,1708.0,518.0746098438972,8.0,4.0,85087.80967712402,374738.877822876,10.361492196877943,36166.49713212059
9,124176.515625,526.0,204.05803102318305,22.0,4.0,26203.857078552246,97972.65854644775,4.0811606204636615,24006.077598415388
0,94316.359375,417.0,131.96604465547688,1.0,0.0,14403.659191131592,79912.70018386841,2.6393208931095375,30277.75076251475
1,94046.1171875,438.0,133.44155620725726,0.0,0.0,15129.023323059082,78917.09386444092,2.6688311241451452,29569.909145045247
2,203294.65625,933.0,343.9733420876489,0.0,1.0,32063.080432891846,171231.57581710815,6.879466841752978,24890.239281024882
3,72054.3046875,316.0,130.8158556748386,2.0,3.0,10859.637069702148,61194.66761779785,2.616317113496772,23389.62173282186
0,64848.1484375,267.0,85.72960947050628,5.0,0.0,11342.316730499268,53505.83170700073,1.7145921894101255,31206.15621456228
1,97361.3671875,425.0,162.5734530646958,6.0,0.0,18054.249477386475,79307.11771011353,3.251469061293916,24391.16479815232
2,46831.890625,207.0,96.87628506200086,7.0,0.0,8793.481510162354,38038.40911483765,1.9375257012400173,19632.46685733926
3,91161.296875,395.0,169.8720743314005,3.0,1.0,16658.921279907227,74502.37559509277,3.3974414866280105,21928.965042761345
4,85576.8203125,367.0,142.55735987970166,8.0,1.0,15478.035720825195,70098.7845916748,2.8511471975940332,24586.168210055344
5,69129.28125,291.0,83.83349057256925,9.0,1.0,12272.774917602539,56856.50633239746,1.676669811451385,33910.37754963838
6,142562.09375,610.0,242.19409849523433,10.0,1.0,25726.43539428711,116835.65835571289,4.843881969904687,24120.25294621534
7,346212.03125,1471.0,530.2598413581984,8.0,2.0,62377.01249694824,283835.01875305176,10.605196827163969,26763.767177431506
8,65830.21875,255.0,97.93118926762463,12.0,2.0,10813.146286010742,55017.07246398926,1.9586237853524926,28089.658093316713
9,153545.875,573.0,189.5791932280697,13.0,2.0,24297.775772094727,129248.09922790527,3.791583864561394,34088.155199715344
10,79910.46875,335.0,141.7719617163042,14.0,2.0,14205.505905151367,65704.96284484863,2.835439234326084,23172.763517348005
11,89924.4921875,387.0,145.27834518713482,7.0,3.0,16396.34662628174,73528.14556121826,2.9055669037426965,25305.955084532987
12,447139.3125,1870.0,688.8831836426255,9.0,3.0,79227.8247833252,367911.4877166748,13.77766367285251,26703.474293802592
13,173002.875,728.0,263.2256276397536,11.0,4.0,31163.289916992188,141839.5850830078,5.264512552795073,26942.58654729607
14,301416.125,1204.0,361.6890573113665,12.0,4.0,51539.287170410156,249876.83782958984,7.23378114622733,34543.04640663747
15,306220.59375,1185.0,425.42751820674425,13.0,4.0,50725.959548950195,255494.6342010498,8.508550364134885,30027.98635100134
0,72839.1640625,316.0,137.92390739151432,0.0,0.0,11421.56217956543,61417.60188293457,2.7584781478302864,22265.03114815077
1,113821.828125,473.0,174.7355646157155,1.0,0.0,17096.199085235596,96725.6290397644,3.49471129231431,27677.71668363185
2,48402.828125,216.0,92.8934777160978,4.0,0.0,7807.143768310547,40595.68435668945,1.857869554321956,21850.66452176464
3,59815.4375,246.0,126.96780135004869,0.0,1.0,8835.313568115234,50980.123931884766,2.5393560270009736,20076.0048570634
4,75724.484375,335.0,131.60125383823606,1.0,1.0,12031.829452514648,63692.65492248535,2.6320250767647213,24199.106416104594
5,58991.0390625,230.0,91.09264359317525,0.0,2.0,8528.628540039062,50462.41052246094,1.8218528718635052,27698.400514002442
6,64703.9921875,269.0,112.12417273769452,5.0,2.0,9974.787292480469,54729.20489501953,2.2424834547538905,24405.622605151388
7,154663.21875,644.0,241.46451686075272,6.0,2.0,23880.159912109375,130783.05883789062,4.829290337215054,27081.21684672004
8,106243.6640625,417.0,184.36726040933104,1.0,3.0,15522.813228607178,90720.85083389282,3.687345208186621,24603.29741638373
9,63120.4296875,251.0,104.55604542876353,2.0,3.0,9343.467914581299,53776.9617729187,2.0911209085752707,25716.811281638515
10,103849.34375,419.0,160.82843547068907,3.0,3.0,15597.263172149658,88252.08057785034,3.2165687094137816,27436.7155035635
11,125893.5390625,546.0,234.16589559404804,9.0,3.0,20324.834587097168,105568.70447540283,4.683317911880961,22541.43461147255
12,59907.96875,261.0,106.5311008188979,10.0,3.0,9715.717632293701,50192.2511177063,2.130622016377958,23557.55771407674
13,64751.43359375,290.0,112.73534963388015,5.0,4.0,11340.063781738281,53411.36981201172,2.254706992677603,23688.829628626132
0,53337.87890625,240.0,109.67269347248768,1.0,0.0,8492.488403320312,44845.39050292969,2.193453869449754,20445.103098602904
1,85064.609375,375.0,144.3187257565255,2.0,0.0,13269.513130187988,71795.09624481201,2.8863745151305102,24873.797862494543
2,108305.7734375,499.0,219.97291212397812,4.0,0.0,17657.298805236816,90648.47463226318,4.399458242479563,20604.46301251245
3,424038.0,1759.0,586.1116240539674,0.0,1.0,63227.30814361572,360810.6918563843,11.722232481079347,30780.03208337342
4,144830.328125,624.0,206.60479506340437,1.0,1.0,22429.698852539062,122400.62927246094,4.132095901268087,29621.92364288974
5,126767.46875,561.0,263.6625832687274,2.0,1.0,20165.161949157715,106602.30680084229,5.2732516653745485,20215.66835143085
6,171327.46875,759.0,301.54549298136953,0.0,2.0,28311.591190338135,143015.87755966187,6.030909859627391,23713.814480473407
7,128704.4765625,593.0,240.54436567624214,1.0,2.0,22119.596279144287,106584.88028335571,4.810887313524843,22154.931790589595
8,97301.3125,418.0,169.5072835141597,2.0,2.0,15591.890800476074,81709.42169952393,3.390145670283194,24102.038568949865
9,209273.9375,900.0,338.3639218860351,3.0,2.0,33571.05674743652,175702.88075256348,6.767278437720702,25963.59561226245
10,117818.2578125,503.0,193.31561449502794,0.0,3.0,18897.648445129395,98920.6093673706,3.866312289900559,25585.261083479327
11,93044.84375,423.0,173.3553378389496,1.0,3.0,15892.058235168457,77152.78551483154,3.467106756778992,22252.786235664673
0,332070.59375,1348.0,461.8580363308875,0.0,0.0,66832.35636901855,265238.23738098145,9.23716072661775,28714.26028310544
1,139407.03125,582.0,209.93695726702313,1.0,0.0,28854.919441223145,110552.11180877686,4.198739145340463,26329.835691617493
2,243372.0625,1034.0,349.7406352736573,2.0,0.0,51264.58196258545,192107.48053741455,6.994812705473146,27464.277976606656
3,105062.7265625,479.0,203.27263285978557,15.0,0.0,23748.292804718018,81314.43375778198,4.065452657195712,20001.3234968702
4,57062.609375,243.0,118.09838375654911,20.0,0.0,12047.672550201416,45014.936824798584,2.361967675130982,19058.235766203827
5,823336.5625,3128.0,886.3327067874868,0.0,1.0,162984.41470336914,660352.1477966309,17.726654135749737,37251.93388101842
6,171418.625,693.0,259.37080163449934,1.0,1.0,36108.759395599365,135309.86560440063,5.187416032689987,26084.251726043713
7,72794.6875,290.0,108.79201053407574,2.0,1.0,15110.447654724121,57684.23984527588,2.175840210681515,26511.248189134287
8,73540.375,311.0,133.3068031861441,3.0,1.0,16204.652484893799,57335.7225151062,2.666136063722882,21505.17495909229
9,272038.40625,1104.0,307.6544570213373,13.0,1.0,57523.911071777344,214514.49517822266,6.153089140426746,34862.89411424731
10,893987.1875,3439.0,1028.485807603849,1.0,2.0,182740.5079421997,711246.6795578003,20.569716152076982,34577.36967780101
11,306185.5625,1241.0,452.9722704545707,2.0,2.0,65943.87041473389,240241.6920852661,9.059445409091415,26518.36632783025
12,221169.53125,997.0,351.3999446950024,5.0,2.0,52978.27462005615,168191.25662994385,7.0279988939000475,23931.59975820791
0,55093.9140625,245.0,110.2838703686733,3.0,0.0,11514.009323120117,43579.90473937988,2.205677407373466,19758.05917660239
1,150265.03125,639.0,231.1985242076701,5.0,0.0,30030.4161529541,120234.6150970459,4.623970484153402,26002.461630993635
2,621271.75,2403.0,645.0818794400446,10.0,0.0,112931.28327941895,508340.46672058105,12.901637588800893,39401.23594557017
3,162883.34375,689.0,223.57458036982325,11.0,0.0,32380.213973999023,130503.12977600098,4.471491607396465,29185.59202037431
4,770343.875,3138.0,995.8542989560442,9.0,1.0,149718.74139404297,620625.133605957,19.917085979120884,31160.438542895252
5,501045.75,2114.0,712.5009450734648,7.0,2.0,101047.52101898193,399998.22898101807,14.250018901469296,28070.013923965736
6,121936.84375,541.0,239.79843575894333,19.0,2.0,25859.37032699585,96077.47342300415,4.795968715178867,20032.96500223749
