,express_level,cell
0,3559.296953,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-1.tif
1,1110.778511,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-2.tif
2,1112.599596,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-3.tif
3,2806.904788,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-4.tif
4,3609.839218,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-5.tif
5,2319.368938,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-7.tif
6,3454.848351,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-8.tif
7,5005.750943,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-9.tif
8,3004.473004,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-10.tif
9,1702.73747,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-11.tif
10,4263.146669,Abi2-dPRD/epi/250318_pMW167_agarose_fmlp_epi_1-12.tif
11,3354.599262,Abi2-dPRD/epi/250319_pMW167_fmlp_epi_1-1.tif
12,3863.408401,Abi2-dPRD/epi/250319_pMW167_fmlp_epi_1-3.tif
13,2135.328903,Abi2-dPRD/epi/250319_pMW167_fmlp_epi_1-4.tif
14,1567.912309,Abi2-dPRD/epi/250319_pMW167_fmlp_epi_1-5.tif
15,4178.480917,Abi2-dPRD/epi/250319_pMW167_fmlp_epi_1-6.tif