,intensity,area,perimeter,label,frame,cells,background,final_intensity
0,136376.03125,498.0,182.1852871863505,0.0,0.0,1,17150.33896766968,119225.69228233032
1,164816.375,601.0,190.72938220870796,1.0,0.0,1,20697.497428854374,144118.87757114563
2,984343.5625,3351.0,884.761910460692,2.0,0.0,1,115403.18449931947,868940.3780006806
3,387239.25,1456.0,490.092901967097,0.0,1.0,1,50142.35649985352,337096.89350014646
4,1165953.875,4106.0,1171.9633186680612,1.0,1.0,1,141404.20040411988,1024549.6745958801
5,188616.28125,754.0,308.9230507402716,0.0,2.0,1,25966.57747313843,162649.70377686157
6,69745.75,246.0,75.043009471267,4.0,2.0,1,8471.854188848878,61273.895811151124
7,147517.78125,496.0,151.29202445208807,8.0,2.0,1,17081.462104345705,130436.3191456543
8,792982.6875,2921.0,796.6924547828105,9.0,2.0,1,100594.65888466492,692388.0286153351
9,191704.875,727.0,262.63079902638515,2.0,2.0,1,25036.739818264774,166668.1351817352
10,928965.1875,3545.0,1010.3658333167918,5.0,3.0,1,122084.240241745,806880.947258255
11,317477.1875,1193.0,403.9821533965327,1.0,3.0,1,41085.04897275086,276392.13852724916
12,1417996.875,5685.0,1716.6461812924576,2.0,4.0,1,195782.48399839786,1222214.3910016022
0,265879.8125,1052.0,332.438755715632,0.0,0.0,2,32761.234304458005,233118.57819554198
1,162006.8125,618.0,205.72411212499244,0.0,1.0,2,19245.668060983884,142761.14443901612
2,272157.875,978.0,282.64012053091494,2.0,1.0,2,30456.736834372554,241701.13816562743
3,373826.25,1576.0,566.3187969846366,0.0,2.0,2,49079.567741279294,324746.6822587207
0,66560.359375,296.0,141.35135437014756,7.0,0.0,3,10656.28593383203,55904.07344116797
1,358828.0625,1523.0,454.6546998391973,8.0,0.0,3,54829.47120684521,303998.5912931548
2,262100.625,1191.0,449.1963809415138,3.0,1.0,3,42877.15049727685,219223.47450272314
3,167908.171875,746.0,262.79824861313256,5.0,2.0,3,26856.720630536132,141051.45124446385
0,608924.125,2721.0,831.5521765801587,0.0,0.0,4,96730.35368584418,512193.77131415583
1,613694.6875,2757.0,957.0049981323284,0.0,1.0,4,98010.1378580935,515684.5496419065
2,404239.9375,1794.0,608.0565327025329,0.0,2.0,4,63775.91125042427,340464.0262495757
3,137260.875,615.0,241.32976383963955,1.0,2.0,4,21862.979609259157,115397.89539074084
4,421600.625,1921.0,760.3014049047658,0.0,3.0,4,68290.70541363714,353309.91958636284
5,225381.484375,1158.0,480.88181351963806,0.0,4.0,4,41166.390874019686,184215.09350098032
0,649725.6875,2632.0,807.5205794836273,4.0,0.0,6,96015.53238330265,553710.1551166973
1,260327.3125,1099.0,443.1336568281091,6.0,1.0,6,40091.59197919818,220235.7205208018
2,291433.625,1188.0,482.5805911870817,9.0,1.0,6,43338.317808268825,248095.30719173118
3,126320.25,539.0,225.3359462466471,4.0,2.0,6,19662.755301899746,106657.49469810026
4,50009.046875,201.0,87.33987404339985,2.0,2.0,6,7332.493164530331,42676.55371046967
5,102492.265625,440.0,229.3813418019304,3.0,2.0,6,16051.228817877343,86441.03680712265
6,72613.2421875,290.0,149.58647510418,9.0,3.0,6,10579.218993600976,62034.023193899026
0,71093.125,314.0,111.62462889934056,0.0,0.0,7,10857.764893187372,60235.36010681263
1,135810.0,586.0,213.0622016377958,1.0,0.0,7,20263.217284738217,115546.78271526178
2,138929.8125,613.0,252.1116486138933,2.0,0.0,7,21196.846750075983,117732.96574992401
3,107669.6171875,490.0,174.10126775624838,0.0,1.0,7,16943.645852426154,90725.97133507385
4,127397.109375,594.0,207.00905412674385,1.0,1.0,7,20539.848237430888,106857.26113756912
5,91792.5703125,400.0,136.8690031858905,2.0,1.0,7,13831.547634633594,77961.02267786641
6,97702.5,442.0,195.36283469689528,0.0,2.0,7,15283.860136270121,82418.63986372988
7,74292.9453125,343.0,162.70820608580897,1.0,2.0,7,11860.552096698308,62432.39321580169
8,51555.8203125,220.0,124.24681604261554,2.0,2.0,7,7607.351199048477,43948.46911345152
0,78049.0390625,346.0,160.1777903284048,0.0,0.0,8,11231.122213753037,66817.91684874696
1,120229.78125,510.0,205.93780163830291,1.0,0.0,8,16554.544303508814,103675.23694649119
2,325216.46875,1300.0,439.8505394729418,2.0,0.0,8,42197.85802855188,283018.61072144815
3,129581.515625,558.0,233.8011047768072,0.0,1.0,8,18112.61906148611,111468.89656351389
4,79342.4921875,340.0,156.00441343247277,1.0,1.0,8,11036.362869005876,68306.12931849412
5,329735.75,1326.0,449.6564565337692,2.0,1.0,8,43041.81518912291,286693.9348108771
6,81723.0234375,333.0,139.7805580433527,4.0,1.0,8,10809.143633467518,70913.87980403248
7,191261.0625,821.0,340.3716738418037,0.0,2.0,8,26649.57033957007,164611.49216042995
8,70528.4921875,295.0,115.68637273744092,1.0,2.0,8,9575.667783402156,60952.824404097846
9,112704.703125,476.0,200.87697012349457,2.0,2.0,8,15450.908016608226,97253.79510839177
10,55433.15625,227.0,104.78608322489116,4.0,2.0,8,7368.395209600982,48064.76104039902
11,48275.515625,201.0,101.72342706349872,6.0,2.0,8,6524.438049029944,41751.077575970055
12,106639.859375,451.0,200.7816853484801,0.0,3.0,8,14639.410746828382,92000.44862817162
13,50871.1015625,225.0,100.61270632895912,1.0,3.0,8,7303.475428018593,43567.626134481405
14,101421.7109375,415.0,156.78981159587022,2.0,3.0,8,13470.854678345406,87950.85625915459
15,94889.7421875,381.0,152.68859951167116,3.0,3.0,8,12367.21839144482,82522.52379605517
16,84366.46875,354.0,130.89479216703594,0.0,4.0,8,11490.801340082588,72875.66740991741
17,101003.34375,422.0,166.50044388168303,1.0,4.0,8,13698.073913883763,87305.26983611623
18,99448.75,420.0,168.87298665469254,2.0,4.0,8,13633.154132301375,85815.59586769862
0,75437.046875,345.0,139.87584281836718,0.0,0.0,9,10734.123648445517,64702.923226554485
1,494254.875,2043.0,658.4499965006185,1.0,0.0,9,63564.680039925195,430690.1949600748
2,71601.765625,317.0,170.34849820647298,0.0,1.0,9,9862.948395818055,61738.81722918194
3,168160.453125,686.0,222.2896383680718,1.0,1.0,9,21343.793689372826,146816.65943562717
4,281682.78125,1172.0,352.1921145388642,2.0,1.0,9,36464.90700283521,245217.8742471648
5,77901.109375,348.0,141.3118861240489,0.0,2.0,9,10827.463854084173,67073.64552091583
6,107142.0234375,443.0,145.4294464910651,1.0,2.0,9,13783.237032641635,93358.78640485837
7,176368.78125,747.0,286.6296995572824,3.0,2.0,9,23241.711204025512,153127.07004597448
8,375056.8125,1564.0,538.2976208617375,0.0,3.0,9,48661.36053961968,326395.4519603803
9,70672.59375,295.0,135.10763730906666,7.0,3.0,9,9178.453554467906,61494.14019553209
10,80098.375,325.0,148.28518481961146,0.0,4.0,9,10111.855610854473,69986.51938914553
11,75009.4375,301.0,128.3249081635331,1.0,4.0,9,9365.133965745219,65644.30353425478
12,127445.8203125,510.0,184.40672865542967,4.0,4.0,9,15867.834958571635,111577.98535392836
13,52501.44921875,224.0,102.04874963464086,6.0,4.0,9,6969.402021019699,45532.0471977303
0,250321.03125,1209.0,371.05801874322,9.0,0.0,10,42502.34198293825,207818.68926706177
1,269674.53125,1359.0,472.5282880473097,8.0,1.0,10,47775.58540513903,221898.94584486098
2,106310.0859375,549.0,255.34852604249764,5.0,2.0,10,19300.070925254837,87010.01501224516
